periode_data,bulan,wilayah,kecamatan,kelurahan,jumlah_rw_terdampak,jumlah_kk_terdampak,jumlah_jiwa_terdampak,jumlah_kejadian,jumlah_korban_meninggal,jumlah_korban_luka,jumlah_pengungsi,jumlah_tempat_pengungsian,nilai_kerugian,rata_rata_ketinggian_air_num,tingkat_keparahan
202303,2,JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,2,0,0,1,0,0,0,0,0,45.0,Rendah
202303,2,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,2,0,0,1,0,0,0,0,0,100.0,Tinggi
202303,2,JAKARTA SELATAN,KEBAYORAN BARU,PETOGOGAN,1,0,0,1,0,0,0,0,0,25.0,Rendah
202306,5,JAKARTA TIMUR,CIPAYUNG,SETU,1,0,0,1,0,0,0,0,0,40.0,Rendah
202303,3,JAKARTA TIMUR,CAKUNG,PULOGEBANG,1,0,0,1,0,0,0,0,0,30.0,Rendah
202303,2,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,1,0,0,1,0,0,0,0,0,65.0,Sedang
202309,7,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,1,0,0,1,0,0,0,0,0,42.5,Rendah
202303,2,JAKARTA TIMUR,KRAMAT JATI,BALEKAMBANG,1,0,0,1,0,0,0,0,0,100.0,Tinggi
202303,1,JAKARTA PUSAT,TIDAK ADA BANJIR,TIDAK ADA BANJIR,0,0,0,0,0,0,0,0,0,0.0,Rendah
202306,6,JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,1,0,0,1,0,0,0,0,0,35.0,Rendah
202312,12,JAKARTA BARAT,KEMBANGAN,JOGLO,1,0,0,1,0,0,0,0,0,37.5,Rendah
202303,2,JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,1,0,0,1,0,0,0,0,0,45.0,Rendah
202306,5,JAKARTA PUSAT,TIDAK ADA BANJIR,TIDAK ADA BANJIR,0,0,0,0,0,0,0,0,0,0.0,Rendah
202303,2,JAKARTA SELATAN,PANCORAN,RAWAJATI,1,0,0,1,0,0,0,0,0,70.0,Sedang
202312,11,JAKARTA SELATAN,JAGAKARSA,LENTENG AGUNG,2,0,0,2,0,0,0,0,0,35.0,Rendah
202303,1,JAKARTA UTARA,CILINCING,MARUNDA,1,0,0,1,0,0,0,0,0,25.0,Rendah
202303,3,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,2,0,0,1,0,0,0,0,0,42.5,Rendah
202303,1,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,1,6,13,1,0,0,3,13,0,40.0,Rendah
202312,12,JAKARTA TIMUR,JATINEGARA,KAMPUNG MELAYU,4,0,0,2,0,0,0,0,0,90.0,Sedang
202303,1,JAKARTA BARAT,KALIDERES,TEGAL ALUR,3,0,0,1,0,0,0,0,0,30.0,Rendah
202303,1,JAKARTA SELATAN,KEBAYORAN BARU,KRAMAT PELA,1,0,0,1,0,0,0,0,0,40.0,Rendah
202303,2,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,3,0,0,1,0,0,0,0,0,70.0,Sedang
202303,3,JAKARTA TIMUR,KRAMAT JATI,CAWANG,6,0,0,1,0,0,0,0,0,70.0,Sedang
202303,3,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,1,0,0,1,0,0,0,0,0,22.5,Rendah
202312,11,JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,2,0,0,4,0,0,0,0,0,50.0,Sedang
202303,1,JAKARTA UTARA,PENJARINGAN,PLUIT,1,0,0,1,0,0,0,0,0,25.0,Rendah
202303,3,JAKARTA TIMUR,KRAMAT JATI,CILILITAN,1,0,0,1,0,0,0,0,0,40.0,Rendah
202306,5,JAKARTA SELATAN,TEBET,BUKIT DURI,2,0,0,1,0,0,0,0,0,35.0,Rendah
202303,3,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,3,0,0,1,0,0,0,0,0,30.0,Rendah
202306,5,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,1,0,0,1,0,0,0,0,0,70.0,Sedang
202303,1,JAKARTA UTARA,KOJA,KOJA,1,0,0,1,0,0,0,0,0,22.5,Rendah
202306,4,JAKARTA BARAT,PASAR MINGGU,CILANDAK TIMUR,1,0,0,1,0,0,0,0,0,70.0,Sedang
202303,2,JAKARTA TIMUR,PULOGADUNG,JATINEGARA KAUM,2,0,0,1,0,0,0,0,0,27.5,Rendah
202312,11,JAKARTA SELATAN,PANCORAN,RAWA JATI,5,0,0,2,0,0,0,0,0,55.0,Sedang
202303,1,JAKARTA SELATAN,MAMPANG PRAPATAN,PELA MAMPANG,2,0,0,1,0,0,0,0,0,47.5,Rendah
